chr	start	end	exon	CCDS	ranks	len	strand
1	100049909	100050004	ENSE00001028829	CCDS763.1	2	96	1
1	100058666	100058728	ENSE00001028830	CCDS763.1	3	63	1
1	100069614	100069685	ENSE00001028831	CCDS763.1	8	72	1
1	100107628	100107717	ENSE00001028843	CCDS764.1	10	90	-1
1	100120394	100120459	ENSE00003609600	CCDS764.1	6	66	-1
1	100139649	100139711	ENSE00000831278	CCDS765.1	4	63	1
1	100206230	100206301	ENSE00000831291	CCDS767.1	10	72	-1
1	100210694	100210771	ENSE00000831293	CCDS767.1	8	78	-1
1	100390732	100390824	ENSE00001350583	CCDS771.1,CCDS770.1,CCDS769.1	4,4,4	93	1
1	100442934	100442996	ENSE00001350573	CCDS770.1,CCDS769.1,CCDS771.1	7,7,7	63	1
1	10126794	10126877	ENSE00003557208	CCDS41245.1,CCDS110.1	11,10	84	1
1	10129392	10129448	ENSE00003474876	CCDS110.1,CCDS41245.1	11,12	57	1
1	10130715	10130813	ENSE00003690063	CCDS110.1,CCDS41245.1	13,14	99	1
1	10261905	10261970	ENSE00001362525	CCDS112.1,CCDS112.1,CCDS111.1	5,5,5	66	1
1	10271502	10271579	ENSE00001362517	CCDS111.1,CCDS112.1,CCDS112.1	8,8,8	78	1
1	10272241	10272306	ENSE00001362516	CCDS111.1,CCDS112.1,CCDS112.1	9,9,9	66	1
1	102881697	102881765	ENSE00000779671	CCDS778.1,CCDS780.2,CCDS53348.1	65,63,64	69	-1
1	102888577	102888630	ENSE00001793140	CCDS780.2,CCDS778.1,CCDS53348.1	60,62,61	54	-1
1	102888723	102888758	ENSE00001796962	CCDS780.2,CCDS53348.1,CCDS778.1	59,60,61	36	-1
1	102888866	102888919	ENSE00001620024	CCDS778.1,CCDS780.2,CCDS53348.1	60,58,59	54	-1
1	102890451	102890504	ENSE00001801750	CCDS778.1,CCDS53348.1,CCDS780.2	58,57,56	54	-1
1	102898125	102898178	ENSE00001597659	CCDS53348.1,CCDS780.2,CCDS778.1	56,55,57	54	-1
1	102898941	102898994	ENSE00001739533	CCDS53348.1,CCDS778.1,CCDS780.2	54,55,53	54	-1
1	102912159	102912212	ENSE00001727824	CCDS53348.1,CCDS778.1,CCDS780.2	53,54,52	54	-1
1	102913637	102913690	ENSE00001652410	CCDS780.2,CCDS778.1,CCDS53348.1	51,53,52	54	-1
1	102914352	102914405	ENSE00001740637	CCDS778.1,CCDS53348.1,CCDS780.2	52,51,50	54	-1
1	102915631	102915684	ENSE00001718712	CCDS780.2,CCDS778.1,CCDS53348.1	48,50,49	54	-1
1	102920311	102920364	ENSE00001665183	CCDS53348.1,CCDS778.1,CCDS780.2	48,49,47	54	-1
