chr	start	end	exon	CCDS	transcript_ids	ranks	len	strand
1	883511	883612	ENSE00001375655	CCDS3.1	ENST00000327044	14	102	-1
1	905901	905981	ENSE00001374286	CCDS4.1	ENST00000379410	4	81	1
1	906493	906588	ENSE00001368630	CCDS4.1	ENST00000379410	7	96	1
1	906704	906784	ENSE00001380204	CCDS4.1	ENST00000379410	8	81	1
1	935072	935167	ENSE00001374237	CCDS5.1	ENST00000304952	2	96	-1
1	1191425	1191505	ENSE00001049676	"CCDS16.1,CCDS16.1,CCDS14.1,CCDS15.1,CCDS16.1,CCDS14.1"	"ENST00000400929,ENST00000348298,ENST00000349431,ENST00000400930,ENST00000347370,ENST00000360466"	"5,6,6,7,6,6"	81	-1
1	1223319	1223417	ENSE00001066436	CCDS44037.1	ENST00000325425	9	99	1
1	1235211	1235285	ENSE00001066459	CCDS19.2	ENST00000354700	9	75	-1
1	1235353	1235448	ENSE00001066447	CCDS19.2	ENST00000354700	8	96	-1
1	1235538	1235582	ENSE00001066457	CCDS19.2	ENST00000354700	7	45	-1
1	1238302	1238355	ENSE00001734554	CCDS19.2	ENST00000354700	4	54	-1
1	1248415	1248504	ENSE00001298744	CCDS21.1	ENST00000435064	11	90	-1
1	1248889	1248972	ENSE00001309629	CCDS21.1	ENST00000435064	10	84	-1
1	1250900	1250998	ENSE00001381006	CCDS21.1	ENST00000435064	5	99	-1
1	1325839	1325943	ENSE00001683090	CCDS30557.1	ENST00000400809	7	105	-1
1	1333977	1334051	ENSE00001799533	"CCDS30557.1,CCDS30558.1,CCDS30558.1"	"ENST00000400809,ENST00000408918,ENST00000496007"	"2,2,2"	75	-1
1	1341189	1341266	ENSE00001746642	CCDS26.1	ENST00000344843	3	78	-1
1	1390840	1390899	ENSE00001654495	CCDS44039.1	ENST00000378785	5	60	1
1	1414024	1414125	ENSE00001806472	CCDS30.1	ENST00000308647	3	102	1
1	1414429	1414488	ENSE00001764933	CCDS30.1	ENST00000308647	4	60	1
1	1421162	1421218	ENSE00001622412	CCDS30.1	ENST00000308647	9	57	1
1	1453096	1453155	ENSE00002423707	CCDS31.1	ENST00000378755	4	60	1
1	1458891	1458947	ENSE00001745869	CCDS31.1	ENST00000378755	9	57	1
1	1560926	1561033	ENSE00001403674	CCDS41224.1	ENST00000357210	8	108	1
1	1562030	1562134	ENSE00001405262	CCDS41224.1	ENST00000357210	9	105	1
1	1635478	1635585	ENSE00001682018	"CCDS44043.1,CCDS44042.1"	"ENST00000358779,ENST00000404249"	"16,16"	108	-1
1	1749276	1749314	ENSE00001066529	"CCDS34.1,CCDS34.1"	"ENST00000378606,ENST00000378609"	"5,4"	39	-1
1	1847124	1847174	ENSE00001478068	CCDS30566.1	ENST00000307786	2	51	1
1	2106663	2106752	ENSE00001642204	"CCDS37.1,CCDS41229.1,CCDS41229.1"	"ENST00000378567,ENST00000400920,ENST00000400921"	"16,13,13"	90	1
1	2328555	2328659	ENSE00001035875	CCDS41232.1	ENST00000306256	3	105	1
1	2442117	2442221	ENSE00001035659	CCDS42.1	ENST00000378466	16	105	-1
1	2451761	2451853	ENSE00001035688	CCDS42.1	ENST00000378466	5	93	-1
1	2523371	2523466	ENSE00001035351	CCDS30569.1	ENST00000288709	22	96	-1
1	2524094	2524159	ENSE00001035355	CCDS30569.1	ENST00000288709	21	66	-1
1	2526715	2526798	ENSE00001035416	CCDS30569.1	ENST00000288709	16	84	-1
1	2527448	2527546	ENSE00001035440	CCDS30569.1	ENST00000288709	15	99	-1
1	2535323	2535412	ENSE00001035412	CCDS30569.1	ENST00000288709	11	90	-1
1	2536997	2537062	ENSE00000955118	CCDS30569.1	ENST00000288709	9	66	-1
1	3160651	3160701	ENSE00001587179	"CCDS41236.1,CCDS44048.1"	"ENST00000441472,ENST00000442529"	"3,3"	51	1
1	3385444	3385500	ENSE00001733234	CCDS46.2	ENST00000378378	5	57	1
1	3391272	3391346	ENSE00000896171	CCDS46.2	ENST00000378378	9	75	1
1	3392534	3392626	ENSE00000896174	CCDS46.2	ENST00000378378	10	93	1
1	3551561	3551638	ENSE00001645981	CCDS48.1	ENST00000270708	8	78	-1
1	3552508	3552594	ENSE00000734309	CCDS48.1	ENST00000270708	6	87	-1
1	3679184	3679276	ENSE00001066636	CCDS50.1	ENST00000294600	6	93	1
1	3683099	3683176	ENSE00001066628	CCDS50.1	ENST00000294600	9	78	1
1	3686347	3686451	ENSE00001066630	CCDS50.1	ENST00000294600	11	105	1
1	3698076	3698165	ENSE00000868846	CCDS51.1	ENST00000378251	6	90	-1
1	3745830	3745937	ENSE00001690217	CCDS30571.1	ENST00000378230	15	108	-1
1	3761853	3761915	ENSE00000868831	CCDS30571.1	ENST00000378230	5	63	-1
1	5933312	5933395	ENSE00001476510	CCDS44052.1	ENST00000378156	23	84	-1
1	5967175	5967282	ENSE00001720973	CCDS44052.1	ENST00000378156	13	108	-1
1	6257712	6257816	ENSE00000860621	CCDS58.1	ENST00000234875	2	105	-1
1	6270430	6270498	ENSE00001709186	CCDS59.2	ENST00000377939	10	69	1
1	6270930	6270998	ENSE00001734900	CCDS59.2	ENST00000377939	11	69	1
1	6479667	6479762	ENSE00000860603	CCDS30574.1	ENST00000377834	2	96	-1
1	6526129	6526167	ENSE00001891923	"CCDS74.1,CCDS75.1"	"ENST00000348333,ENST00000351748"	"1,1"	39	-1
1	6531818	6531868	ENSE00001064836	"CCDS79.1,CCDS41241.1,CCDS79.1,CCDS79.1,CCDS41240.1,CCDS79.1"	"ENST00000340850,ENST00000400915,ENST00000377737,ENST00000400913,ENST00000377748,ENST00000377728"	"11,12,12,11,12,11"	51	-1
1	6532587	6532682	ENSE00001064801	"CCDS79.1,CCDS79.1,CCDS41241.1,CCDS79.1,CCDS79.1,CCDS41240.1"	"ENST00000377728,ENST00000340850,ENST00000400915,ENST00000377737,ENST00000400913,ENST00000377748"	"10,10,11,11,10,11"	96	-1
1	6646755	6646847	ENSE00001259285	CCDS84.1	ENST00000377674	5	93	1
1	6647265	6647351	ENSE00001259279	CCDS84.1	ENST00000377674	6	87	1
1	6676817	6676918	ENSE00001248376	CCDS85.1	ENST00000377648	2	102	1
1	6690348	6690413	ENSE00000736055	CCDS86.1	ENST00000377627	3	66	1
1	6727769	6727870	ENSE00000828400	CCDS87.1	ENST00000377577	4	102	-1
1	7527890	7527961	ENSE00001317856	CCDS30576.1	ENST00000303635	6	72	1
1	7807770	7807841	ENSE00001151421	CCDS30576.1	ENST00000303635	19	72	1
1	8025384	8025485	ENSE00000737026	"CCDS93.1,CCDS93.1,CCDS93.1,CCDS93.1"	"ENST00000377491,ENST00000338639,ENST00000377488,ENST00000493678"	"3,3,3,3"	102	1
1	8029405	8029464	ENSE00000737024	"CCDS93.1,CCDS93.1,CCDS93.1,CCDS93.1"	"ENST00000338639,ENST00000377488,ENST00000493678,ENST00000377491"	"4,4,4,4"	60	1
1	8482787	8482867	ENSE00001720579	"CCDS95.1,CCDS95.1"	"ENST00000400908,ENST00000337907"	"12,13"	81	-1
1	8525985	8526083	ENSE00001738084	"CCDS95.1,CCDS95.1"	"ENST00000400908,ENST00000337907"	"11,12"	99	-1
1	9018969	9019061	ENSE00000739891	CCDS30578.1	ENST00000377443	4	93	1
1	9070202	9070303	ENSE00001065159	CCDS98.2	ENST00000400906	9	102	-1
1	9085035	9085133	ENSE00001545308	CCDS98.2	ENST00000400906	2	99	-1
1	9086354	9086404	ENSE00001545309	CCDS98.2	ENST00000400906	1	51	-1
1	9098887	9098988	ENSE00001609203	CCDS99.1	ENST00000377424	9	102	-1
1	9118211	9118309	ENSE00001317327	"CCDS44054.1,CCDS99.1"	"ENST00000377414,ENST00000377424"	"2,2"	99	-1
1	9777595	9777684	ENSE00001149633	CCDS104.1	ENST00000377346	8	90	1
1	9780669	9780719	ENSE00001298047	CCDS104.1	ENST00000377346	12	51	1
