chr	start	end	exon	CCDS	ranks	len	strand
1	202333237	202333335	ENSE00000415302	CCDS1425.1	5	99	-1
1	201058408	201058491	ENSE00000522305	CCDS1407.1	28	84	-1
1	40413016	40413102	ENSE00000540397	CCDS55593.1,CCDS72763.1,CCDS451.1,CCDS55592.1	5,5,5,5	87	1
1	32192657	32192731	ENSE00000542105	CCDS353.1,CCDS353.1	8,7	75	1
1	11210814	11210906	ENSE00000743775	CCDS127.1	24	93	-1
1	11216148	11216234	ENSE00000743783	CCDS127.1	20	87	-1
1	11232436	11232528	ENSE00000743792	CCDS127.1	16	93	-1
1	11233398	11233487	ENSE00000743794	CCDS127.1	15	90	-1
1	11675082	11675174	ENSE00000743991	CCDS134.1,CCDS134.1,CCDS134.1	10,8,8	93	-1
1	16253096	16253152	ENSE00000752041	CCDS30613.1	8	57	-1
1	27103223	27103312	ENSE00000760795	CCDS295.1	6	90	-1
1	27897633	27897707	ENSE00000761795	CCDS314.1,CCDS72740.1	5,5	75	-1
1	32193208	32193300	ENSE00000763548	CCDS353.1,CCDS353.1	8,9	93	1
1	32194065	32194160	ENSE00000763570	CCDS353.1,CCDS353.1	9,10	96	1
1	40267786	40267872	ENSE00000768290	CCDS449.1	3	87	1
1	43958242	43958268	ENSE00000770494	CCDS503.1	9	27	1
1	43960249	43960329	ENSE00000770564	CCDS503.1	12	81	1
1	43966930	43967019	ENSE00000770593	CCDS503.1	18	90	1
1	53793229	53793279	ENSE00000772441	CCDS583.1	14	51	-1
1	183549208	183549288	ENSE00000774233	CCDS41445.2,CCDS53444.1,CCDS53445.1,CCDS1355.1	19,18,18,18	81	1
1	183566920	183566988	ENSE00000774243	CCDS53446.1,CCDS1356.1,CCDS53447.1,CCDS1356.1	7,10,8,9	69	-1
1	67042236	67042328	ENSE00000774263	CCDS636.1	8	93	-1
1	67052771	67052857	ENSE00000774268	CCDS636.1	3	87	-1
1	74706899	74706994	ENSE00000774937	CCDS665.1,CCDS44162.1,CCDS665.1,CCDS44163.1	8,7,9,6	96	-1
1	77740877	77740939	ENSE00000775133	CCDS678.1,CCDS680.1,CCDS679.1,CCDS678.1	4,5,4,5	63	-1
1	84489633	84489728	ENSE00000775626	CCDS695.1	4	96	1
1	86724313	86724405	ENSE00000776120	CCDS72819.1,CCDS55612.1,CCDS55613.1,CCDS710.1	5,5,4,5	93	1
1	86734602	86734691	ENSE00000776121	CCDS55613.1,CCDS72819.1,CCDS710.1,CCDS55612.1	5,7,6,8	90	1
1	94478259	94478315	ENSE00000777386	CCDS44175.1,CCDS749.1	8,8	57	1
1	99662319	99662399	ENSE00000777611	CCDS758.1	2	81	1
1	102881697	102881765	ENSE00000779671	CCDS53348.1,CCDS778.1,CCDS780.2	64,65,63	69	-1
1	108794827	108794907	ENSE00000782923	CCDS790.1	13	81	1
1	108793582	108793647	ENSE00000782924	CCDS790.1	12	66	1
1	114737471	114737563	ENSE00000784321	CCDS55626.1,CCDS55626.1,CCDS30812.1,CCDS30812.1	6,5,4,5	93	-1
1	114401389	114401463	ENSE00000784409	CCDS873.1,CCDS872.1	17,17	75	-1
1	114397940	114397990	ENSE00000784411	CCDS872.1	19	51	-1
1	117950834	117950890	ENSE00000785127	CCDS898.1	16	57	1
1	117952946	117952996	ENSE00000785133	CCDS898.1	20	51	1
1	117953476	117953541	ENSE00000785134	CCDS898.1	21	66	1
1	117954007	117954099	ENSE00000785135	CCDS898.1	22	93	1
1	117954580	117954627	ENSE00000785136	CCDS898.1	23	48	1
1	155951741	155951776	ENSE00000788585	CCDS53376.1,CCDS53375.1,CCDS1125.1	18,18,18	36	-1
1	160824181	160824249	ENSE00000789192	CCDS65695.1,CCDS65696.1,CCDS30916.1	9,8,9	69	1
1	171568247	171568339	ENSE00000789773	CCDS1296.2,CCDS1296.2	22,23	93	1
1	178441549	178441647	ENSE00000790042	CCDS1321.2,CCDS1322.1	7,5	99	1
1	182858551	182858640	ENSE00000790592	CCDS41444.1	9	90	1
1	184717540	184717623	ENSE00000790724	CCDS1363.2	12	84	-1
1	186322518	186322586	ENSE00000790829	CCDS41446.1	44	69	-1
1	201054505	201054561	ENSE00000791239	CCDS1407.1	29	57	-1
1	201069137	201069196	ENSE00000791281	CCDS1407.1	19	60	-1
1	201382653	201382739	ENSE00000791360	CCDS1410.1	8	87	-1
1	202333010	202333093	ENSE00000791436	CCDS1425.1	6	84	-1
1	241590204	241590263	ENSE00000793714	CCDS1618.1	14	60	1
1	200555380	200555454	ENSE00000796390	CCDS30963.1,CCDS30963.1	28,27	75	-1
1	200608830	200608928	ENSE00000796412	CCDS30963.1,CCDS30963.1	5,4	99	-1
1	220153968	220154057	ENSE00000801825	CCDS31028.1	32	90	-1
1	220157802	220157876	ENSE00000801827	CCDS31028.1	30	75	-1
1	220159386	220159421	ENSE00000801828	CCDS31028.1	29	36	-1
1	176840173	176840271	ENSE00000814752	CCDS41438.1	22	99	1
1	160836195	160836254	ENSE00000829191	CCDS53398.1,CCDS53399.1,CCDS1210.1	5,6,6	60	-1
1	84482915	84482995	ENSE00000830853	CCDS695.1	3	81	1
1	86368636	86368722	ENSE00000830925	CCDS41354.2,CCDS41354.2	11,11	87	-1
1	100139649	100139711	ENSE00000831278	CCDS765.1	4	63	1
1	100206230	100206301	ENSE00000831291	CCDS767.1	10	72	-1
1	100210694	100210771	ENSE00000831293	CCDS767.1	8	78	-1
1	62542608	62542703	ENSE00000857936	CCDS30734.1,CCDS60156.1	24,25	96	-1
1	35762404	35762481	ENSE00000861200	CCDS396.1,CCDS53297.1	5,5	78	-1
1	10368467	10368538	ENSE00000869761	CCDS111.1	42	72	1
1	42943226	42943321	ENSE00000870228	CCDS477.1	2	96	-1
1	21221747	21221842	ENSE00000874520	CCDS44082.1,CCDS215.1,CCDS44081.1,CCDS44083.1	17,18,18,16	96	-1
1	28269183	28269248	ENSE00000896283	CCDS321.1	2	66	1
1	156976983	156977054	ENSE00000904840	CCDS1162.1,CCDS1163.1	7,7	72	-1
1	236587948	236588043	ENSE00000908050	CCDS31066.1	13	96	-1
1	237602025	237602111	ENSE00000908149	CCDS55691.1	35	87	1
1	237659985	237660074	ENSE00000908169	CCDS55691.1	55	90	1
1	237666512	237666589	ENSE00000908171	CCDS55691.1	57	78	1
1	19238795	19238857	ENSE00000908596	CCDS59190.1,CCDS190.1	9,10	63	-1
1	193147867	193147965	ENSE00000914553	CCDS1382.1	8	99	1
1	37706978	37707064	ENSE00000916830	CCDS424.1,CCDS424.1	9,10	87	1
1	234457667	234457756	ENSE00000921453	CCDS1601.1	9	90	-1
1	179348844	179348942	ENSE00000922014	CCDS58048.1,CCDS58047.1,CCDS1330.1	12,12,13	99	1
1	183570780	183570839	ENSE00000922160	CCDS53447.1,CCDS1356.1,CCDS53446.1,CCDS1356.1	5,6,4,7	60	-1
1	220018449	220018508	ENSE00000925595	CCDS31027.1	12	60	-1
1	2605558	2605623	ENSE00000955118	CCDS30569.2	9	66	-1
